source,file,Av_mag,alpha_obs_2_24um,alpha_obs_unc,alpha_dered_2_24um,alpha_dered_unc,n_points_obs,n_points_dered,plot,error
2MASSJ05574918-1406080,2MASSJ05574918-1406080_phot_cleaned_1.dat,3.8,0.3821213762704673,0.31001300214791994,0.2673741593589945,0.2981519010800904,7,7,plots/2MASSJ05574918-1406080_obs_plus_dered.png,
DGTau,DGTau_phot_cleaned_1.dat,3.2,-0.004734382225015075,0.09774877225458073,-0.11229947333891196,0.10430679611456388,9,9,plots/DGTau_obs_plus_dered.png,
DoAr25,DoAr25_phot_cleaned_1.dat,4.0,,,,,0,0,,"Input x outside of range defined for WD01 [0.0001 <= x <= 100.0, x has units 1/micron]"
DoAr43,DoAr43_phot_cleaned_1.dat,11.3,-0.6104566969719444,0.06756137814915945,-0.8698204057859023,0.036240394913269525,11,11,plots/DoAr43_obs_plus_dered.png,
EM*SR24S,EM*SR24S_phot_cleaned_1.dat,10.7,-0.3746136037789547,0.12172464962336112,-0.6741807426708268,0.13728989986398185,11,11,plots/EM_SR24S_obs_plus_dered.png,
Elia2-32,Elia2-32_phot_cleaned_1.dat,9.8,-0.26280786602801004,0.07358794249738836,-0.42744918512342256,0.06591040746512188,17,17,plots/Elia2-32_obs_plus_dered.png,
Elia2-33,Elia2-33_phot_cleaned_1.dat,9.8,-0.37304764300203297,0.13177024115558053,-0.5606992955398513,0.11291062005535794,17,17,plots/Elia2-33_obs_plus_dered.png,
FPTau,FPTau_phot_cleaned_1.dat,0.8,-1.2650832625574269,0.17896631217490688,-1.2842058351676335,0.17977188868332541,5,5,plots/FPTau_obs_plus_dered.png,
GVTau,GVTau_phot_cleaned_2.dat,11.9,0.9117832210747707,0.14440222270283942,0.4833911665605934,0.20260906506815518,8,8,plots/GVTau_obs_plus_dered.png,
HKTau,HKTau_phot_cleaned_2.dat,4.7,-0.7267939998236418,0.21884510681362138,-0.8180768358062629,0.20139126240771807,11,11,plots/HKTau_obs_plus_dered.png,
Haro6-13,Haro6-13_phot_cleaned_1.dat,11.0,-0.022419853389513054,0.13322610455795533,-0.30416511885575914,0.11128644924193944,10,10,plots/Haro6-13_obs_plus_dered.png,
Haro6-28,Haro6-28_phot_cleaned_1.dat,4.1,-0.9143376793058667,0.08208894678437646,-1.0114131593045033,0.0875830476453238,7,7,plots/Haro6-28_obs_plus_dered.png,
Haro6-33,Haro6-33_phot_cleaned_1.dat,9.3,-0.007864321030525943,0.07098433908561189,-0.2356696517234268,0.08674562371860955,13,13,plots/Haro6-33_obs_plus_dered.png,
IRAS03301+3111,IRAS03301+3111_phot_cleaned_3.dat,5.9,0.25999581675425115,0.06874068824594118,0.11088602488823329,0.06060821161927335,12,12,plots/IRAS03301_3111_obs_plus_dered.png,
IRAS04181+2654,IRAS04181+2654_phot_cleaned_1.dat,24.6,0.528227789755883,0.139698766132039,-0.026102491491182496,0.1539935147285382,8,8,plots/IRAS04181_2654_obs_plus_dered.png,
IRAS04295+2251,IRAS04295+2251_phot_cleaned_1.dat,18.0,0.49021352154551495,0.1100074134343712,0.08727811113170593,0.10270554708612992,7,7,plots/IRAS04295_2251_obs_plus_dered.png,
IRAS04489+3042,IRAS04489+3042_phot_cleaned_1.dat,17.5,0.14545331067520545,0.08705891736949799,-0.29919299391608606,0.06401580081982654,8,8,plots/IRAS04489_3042_obs_plus_dered.png,
IRAS04591-0856,IRAS04591-0856_phot_cleaned_1.dat,14.0,0.5346347615718235,0.14877331710571334,0.2865016727928909,0.08355361416958054,7,7,plots/IRAS04591-0856_obs_plus_dered.png,
IRAS19247+2238,IRAS19247+2238_phot_cleaned_1.dat,1.9,-0.21814357208915583,0.18970416307586252,-0.2672402739061362,0.19146569882744402,8,8,plots/IRAS19247_2238_obs_plus_dered.png,
LZK12,LZK12_phot_cleaned_1.dat,3.5,1.6998572356949757,0.21054947986235634,1.6206054465476507,0.2244518239650117,15,15,plots/LZK12_obs_plus_dered.png,
NAMEIRAS04108+2803B,NAMEIRAS04108+2803B_phot_cleaned_1.dat,19.0,0.9256681881235458,0.09103134906161582,0.574509224313289,0.10148615323277053,13,13,plots/NAMEIRAS04108_2803B_obs_plus_dered.png,
NAMEIRAS04181+2654B,NAMEIRAS04181+2654B_phot_cleaned_1.dat,37.0,0.2937030512931138,0.13501175623473333,-0.592689480037145,0.16766653634256234,7,7,plots/NAMEIRAS04181_2654B_obs_plus_dered.png,
TTauN,TTauN_phot_cleaned_1.dat,1.25,,,,,0,0,,"Input x outside of range defined for WD01 [0.0001 <= x <= 100.0, x has units 1/micron]"
UYAurA,UYAurA_phot_cleaned_1.dat,1.0,-0.2167607521964561,0.06359588962653352,-0.25483324453063044,0.05923683092691853,7,7,plots/UYAurA_obs_plus_dered.png,
V347Aur,V347Aur_phot_cleaned_3.dat,1.3,-0.14181731621111685,0.11128561143758418,-0.17711874665542032,0.10692342226716721,8,8,plots/V347Aur_obs_plus_dered.png,
WLY2-42,WLY2-42_phot_cleaned_1.dat,9.8,-0.2850737163830662,0.1022120176464098,-0.28878329549253523,0.18379243703366396,17,17,plots/WLY2-42_obs_plus_dered.png,
WLY2-63,WLY2-63_phot_cleaned_1.dat,9.8,0.19785987861559967,0.1452838526933937,-0.047443193457592216,0.10833499302231711,13,13,plots/WLY2-63_obs_plus_dered.png,
YLW58,YLW58_phot_cleaned_1.dat,6.3,-0.7511006836920975,0.09685648027823596,-0.8986664920974772,0.11528070509459369,11,11,plots/YLW58_obs_plus_dered.png,
[BHS98]MHO2,[BHS98]MHO2_phot_cleaned_1.dat,17.1,0.4597220942436636,0.29081230920559026,0.7404079940293105,0.542163223947965,12,12,plots/[BHS98]MHO2_obs_plus_dered.png,
[EC92]92,[EC92]92_phot_cleaned_1.dat,22.0,0.6881940618862575,0.23054335717946184,0.36786191790270056,0.26148044675999926,17,17,plots/[EC92]92_obs_plus_dered.png,
[GY92]235,[GY92]235_phot_cleaned_1.dat,9.8,-0.09107113955694002,0.06853649214224568,-0.26638065148962686,0.11408142585378667,17,17,plots/[GY92]235_obs_plus_dered.png,
[MB91]54,[MB91]54_phot_cleaned_1.dat,9.7,-0.6532140768474087,0.07769402244713222,-0.8535486750220282,0.14339928335910762,5,5,plots/[MB91]54_obs_plus_dered.png,
[TS84]IRS5,[TS84]IRS5_phot_cleaned_1.dat,7.9,0.7076697562049453,0.16793490488700855,0.5836546879132977,0.13395700501691518,10,10,plots/[TS84]IRS5_obs_plus_dered.png,
